a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-2
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
adwaita-maia 20191107-2
alacarte 3.36.0+0+g7b5fc64-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.2-1
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amd-ucode 20200519.r1641.8ba6fa6-1
amtk 5.0.2-1
aom 1.0.0.errata1+avif-1
apache 2.4.43-1
apparmor 2.13.4-4
appstream-glib 0.7.17-1
apr 1.7.0-3
apr-util 1.6.1-7
archlinux-appstream-data 20200315-1.1
archlinux-keyring 20200422-1
argon2 20190702-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
atool 0.39.0-6
attr 2.4.48-3
audit 2.8.5-6
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
baobab 3.34.0-2
bash 5.0.017-1
bashrc-manjaro 5.0.017-1
bc 1.07.1-4
bluez 5.54-2
bluez-libs 5.54-2
bmenu 0.10-1
bolt 0.8-3
boost-libs 1.72.0-2
brotli 1.0.7-3
btrfs-progs 5.6.1-3
bubblewrap 0.4.1-1
bzip2 1.0.8-3
ca-certificates 20181109-3
ca-certificates-mozilla 3.52.1-2
ca-certificates-utils 20181109-3
caffeine-ng 3.4.2-2.3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cdparanoia 10.2-8
cheese 3.34.0+23+gcac6d3a1-1
chromaprint 1.5.0-1
chrome-gnome-shell 10.1-4
cifs-utils 6.10-1
ckbcomp 1.194-1
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmus 2.8.0-3
cogl 1.22.6-1
colord 1.4.4+9+g1ce26da-2
colord-gtk 0.2.0-2
colord-sane 1.4.4+9+g1ce26da-2
